,team,opponent,away_wins,away_losses
317,Indiana Pacers,Utah Jazz,4,3
318,Indiana Pacers,Washington Wizards,5,7
319,Los Angeles Clippers,Atlanta Hawks,0,3
320,Los Angeles Clippers,Brooklyn Nets,0,3
321,Los Angeles Clippers,Boston Celtics,2,1
322,Los Angeles Clippers,Charlotte Hornets,2,1
323,Los Angeles Clippers,Chicago Bulls,3,0
324,Los Angeles Clippers,Cleveland Cavaliers,1,2
325,Los Angeles Clippers,Dallas Mavericks,3,2
326,Los Angeles Clippers,Denver Nuggets,1,5
327,Los Angeles Clippers,Detroit Pistons,3,0
328,Los Angeles Clippers,Golden State Warriors,0,6
329,Los Angeles Clippers,Houston Rockets,4,2
330,Los Angeles Clippers,Indiana Pacers,2,1
331,Los Angeles Clippers,Los Angeles Lakers,5,1
332,Los Angeles Clippers,Memphis Grizzlies,4,2
333,Los Angeles Clippers,Miami Heat,1,2
334,Los Angeles Clippers,Milwaukee Bucks,2,1
335,Los Angeles Clippers,Minnesota Timberwolves,5,0
336,Los Angeles Clippers,New Orleans Pelicans,1,2
337,Los Angeles Clippers,New York Knicks,3,0
338,Los Angeles Clippers,Oklahoma City Thunder,2,3
339,Los Angeles Clippers,Orlando Magic,2,1
340,Los Angeles Clippers,Philadelphia 76ers,3,0
341,Los Angeles Clippers,Phoenix Suns,5,1
342,Los Angeles Clippers,Portland Trail Blazers,3,3
343,Los Angeles Clippers,Sacramento Kings,5,1
344,Los Angeles Clippers,San Antonio Spurs,2,3
345,Los Angeles Clippers,Toronto Raptors,1,2
346,Los Angeles Clippers,Utah Jazz,5,0
347,Los Angeles Clippers,Washington Wizards,1,2
348,Los Angeles Lakers,Atlanta Hawks,3,4
349,Los Angeles Lakers,Brooklyn Nets,4,3
350,Los Angeles Lakers,Boston Celtics,3,4
351,Los Angeles Lakers,Charlotte Hornets,4,3
352,Los Angeles Lakers,Chicago Bulls,2,4
353,Los Angeles Lakers,Cleveland Cavaliers,2,5
354,Los Angeles Lakers,Dallas Mavericks,4,8
355,Los Angeles Lakers,Denver Nuggets,2,10
356,Los Angeles Lakers,Detroit Pistons,3,3
357,Los Angeles Lakers,Golden State Warriors,2,12
358,Los Angeles Lakers,Houston Rockets,3,10
359,Los Angeles Lakers,Indiana Pacers,1,6
360,Los Angeles Lakers,Los Angeles Clippers,2,11
361,Los Angeles Lakers,Memphis Grizzlies,3,9
362,Los Angeles Lakers,Miami Heat,2,5
363,Los Angeles Lakers,Milwaukee Bucks,1,5
364,Los Angeles Lakers,Minnesota Timberwolves,4,9
365,Los Angeles Lakers,New Orleans Pelicans,2,7
366,Los Angeles Lakers,New York Knicks,1,5
367,Los Angeles Lakers,Oklahoma City Thunder,2,10
368,Los Angeles Lakers,Orlando Magic,1,6
369,Los Angeles Lakers,Philadelphia 76ers,5,2
370,Los Angeles Lakers,Phoenix Suns,4,9
371,Los Angeles Lakers,Portland Trail Blazers,3,9
372,Los Angeles Lakers,Sacramento Kings,5,9
373,Los Angeles Lakers,San Antonio Spurs,4,8
374,Los Angeles Lakers,Toronto Raptors,1,5
375,Los Angeles Lakers,Utah Jazz,2,10
376,Los Angeles Lakers,Washington Wizards,2,5
377,Memphis Grizzlies,Atlanta Hawks,2,4
378,Memphis Grizzlies,Brooklyn Nets,5,2
379,Memphis Grizzlies,Boston Celtics,2,5
380,Memphis Grizzlies,Charlotte Hornets,3,4
381,Memphis Grizzlies,Chicago Bulls,4,3
382,Memphis Grizzlies,Cleveland Cavaliers,2,4
383,Memphis Grizzlies,Dallas Mavericks,4,8
384,Memphis Grizzlies,Denver Nuggets,5,7
385,Memphis Grizzlies,Detroit Pistons,4,2
386,Memphis Grizzlies,Golden State Warriors,4,9
387,Memphis Grizzlies,Houston Rockets,6,8
388,Memphis Grizzlies,Indiana Pacers,2,5
389,Memphis Grizzlies,Los Angeles Clippers,5,7
390,Memphis Grizzlies,Los Angeles Lakers,7,5
391,Memphis Grizzlies,Miami Heat,2,5
392,Memphis Grizzlies,Milwaukee Bucks,3,4
393,Memphis Grizzlies,Minnesota Timberwolves,7,6
394,Memphis Grizzlies,New Orleans Pelicans,5,7
395,Memphis Grizzlies,New York Knicks,4,3
396,Memphis Grizzlies,Oklahoma City Thunder,2,10
397,Memphis Grizzlies,Orlando Magic,3,3
398,Memphis Grizzlies,Philadelphia 76ers,5,2
399,Memphis Grizzlies,Phoenix Suns,7,5
400,Memphis Grizzlies,Portland Trail Blazers,7,5
401,Memphis Grizzlies,Sacramento Kings,8,4
402,Memphis Grizzlies,San Antonio Spurs,2,12
403,Memphis Grizzlies,Toronto Raptors,1,6
404,Memphis Grizzlies,Utah Jazz,8,4
405,Memphis Grizzlies,Washington Wizards,1,5
406,Miami Heat,Atlanta Hawks,6,8
407,Miami Heat,Brooklyn Nets,9,3
408,Miami Heat,Boston Celtics,4,7
409,Miami Heat,Charlotte Hornets,8,5
410,Miami Heat,Chicago Bulls,8,5
411,Miami Heat,Cleveland Cavaliers,7,6
