,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
93,Milwaukee Bucks,2014,23,18,18,23,0.5609756097560976,0.43902439024390244
94,Milwaukee Bucks,2015,23,18,10,31,0.5609756097560976,0.24390243902439024
95,Milwaukee Bucks,2016,23,18,19,22,0.5609756097560976,0.4634146341463415
96,Milwaukee Bucks,2017,25,16,19,22,0.6097560975609756,0.4634146341463415
97,Minnesota Timberwolves,2012,20,21,11,30,0.4878048780487805,0.2682926829268293
98,Minnesota Timberwolves,2013,24,17,16,25,0.5853658536585366,0.3902439024390244
99,Minnesota Timberwolves,2014,9,32,7,34,0.21951219512195122,0.17073170731707318
100,Minnesota Timberwolves,2015,14,27,15,26,0.34146341463414637,0.36585365853658536
101,Minnesota Timberwolves,2016,20,21,11,30,0.4878048780487805,0.2682926829268293
102,Minnesota Timberwolves,2017,30,11,17,24,0.7317073170731707,0.4146341463414634
103,New Orleans Pelicans,2013,22,19,12,29,0.5365853658536586,0.2926829268292683
104,New Orleans Pelicans,2014,28,13,17,24,0.6829268292682927,0.4146341463414634
105,New Orleans Pelicans,2015,21,20,9,32,0.5121951219512195,0.21951219512195122
106,New Orleans Pelicans,2016,21,20,13,28,0.5121951219512195,0.3170731707317073
107,New Orleans Pelicans,2017,24,17,24,17,0.5853658536585366,0.5853658536585366
108,New York Knicks,2012,31,10,23,18,0.7560975609756098,0.5609756097560976
109,New York Knicks,2013,19,22,18,23,0.4634146341463415,0.43902439024390244
110,New York Knicks,2014,10,31,7,34,0.24390243902439024,0.17073170731707318
111,New York Knicks,2015,18,23,14,27,0.43902439024390244,0.34146341463414637
112,New York Knicks,2016,19,22,12,29,0.4634146341463415,0.2926829268292683
113,New York Knicks,2017,19,22,10,31,0.4634146341463415,0.24390243902439024
114,Oklahoma City Thunder,2012,34,7,26,15,0.8292682926829268,0.6341463414634146
115,Oklahoma City Thunder,2013,34,7,25,16,0.8292682926829268,0.6097560975609756
116,Oklahoma City Thunder,2014,29,12,16,25,0.7073170731707317,0.3902439024390244
