TEAM NAME,ref,MATCHUP,LOCATION,WL,OPPONENT,ref2
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Arizona Cardinals, Arizona Cardinals, Arizona Cardinals vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Carolina Panthers, Carolina Panthers, Carolina Panthers vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Chicago Bears, Chicago Bears, Chicago Bears @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Chicago Bears, Chicago Bears, Chicago Bears vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Cleveland Browns, Cleveland Browns, Cleveland Browns @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Cleveland Browns, Cleveland Browns, Cleveland Browns vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Dallas Cowboys, Dallas Cowboys, Dallas Cowboys @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Dallas Cowboys, Dallas Cowboys, Dallas Cowboys vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Denver Broncos, Denver Broncos, Denver Broncos @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Denver Broncos, Denver Broncos, Denver Broncos vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Green Bay Packers, Green Bay Packers, Green Bay Packers @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Green Bay Packers, Green Bay Packers, Green Bay Packers @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Green Bay Packers, Green Bay Packers, Green Bay Packers vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Green Bay Packers, Green Bay Packers, Green Bay Packers vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Houston Texans, Houston Texans, Houston Texans @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Houston Texans, Houston Texans, Houston Texans vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Indianapolis Colts, Indianapolis Colts, Indianapolis Colts @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Indianapolis Colts, Indianapolis Colts, Indianapolis Colts vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Kansas City Chiefs, Kansas City Chiefs, Kansas City Chiefs @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Kansas City Chiefs, Kansas City Chiefs, Kansas City Chiefs vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Los Angeles Chargers,Los Angeles Chargers,Los Angeles Chargers vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
Los Angeles Rams,Los Angeles Rams,Los Angeles Rams vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
Minnesota Vikings, Minnesota Vikings, Minnesota Vikings @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
Minnesota Vikings, Minnesota Vikings, Minnesota Vikings vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
New England Patriots, New England Patriots, New England Patriots @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
New England Patriots, New England Patriots, New England Patriots @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
New England Patriots, New England Patriots, New England Patriots vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
New England Patriots, New England Patriots, New England Patriots vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints @ Atlanta Falcons,Away,W,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Atlanta Falcons,Home,L,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
New Orleans Saints, New Orleans Saints, New Orleans Saints vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
New York Giants, New York Giants, New York Giants @ Atlanta Falcons,Away,L,Atlanta Falcons, Atlanta Falcons
New York Giants, New York Giants, New York Giants vs. Atlanta Falcons,Home,W,Atlanta Falcons, Atlanta Falcons
