,TEAM,YEAR,HOME W,HOME L,AWAY W,AWAY L,HOME %,AWAY %
91,New York Knicks,2017,19,22,10,31,0.4634146341463415,0.24390243902439024
92,Orlando Magic,2012,12,29,8,33,0.2926829268292683,0.1951219512195122
93,Orlando Magic,2013,19,22,4,37,0.4634146341463415,0.0975609756097561
94,Orlando Magic,2014,13,28,12,29,0.3170731707317073,0.2926829268292683
95,Orlando Magic,2015,23,18,12,29,0.5609756097560976,0.2926829268292683
96,Orlando Magic,2016,16,25,13,28,0.3902439024390244,0.3170731707317073
97,Orlando Magic,2017,17,24,8,33,0.4146341463414634,0.1951219512195122
98,Indiana Pacers,2012,30,11,19,21,0.7317073170731707,0.475
99,Indiana Pacers,2013,35,6,21,20,0.8536585365853658,0.5121951219512195
100,Indiana Pacers,2014,23,18,15,26,0.5609756097560976,0.36585365853658536
101,Indiana Pacers,2015,26,15,19,22,0.6341463414634146,0.4634146341463415
102,Indiana Pacers,2016,29,12,13,28,0.7073170731707317,0.3170731707317073
103,Indiana Pacers,2017,27,14,21,20,0.6585365853658537,0.5121951219512195
104,Philadelphia 76ers,2012,23,18,11,30,0.5609756097560976,0.2682926829268293
105,Philadelphia 76ers,2013,10,31,9,32,0.24390243902439024,0.21951219512195122
106,Philadelphia 76ers,2014,12,29,6,35,0.2926829268292683,0.14634146341463414
107,Philadelphia 76ers,2015,7,34,3,38,0.17073170731707318,0.07317073170731707
108,Philadelphia 76ers,2016,17,24,11,30,0.4146341463414634,0.2682926829268293
109,Philadelphia 76ers,2017,30,11,22,19,0.7317073170731707,0.5365853658536586
110,Phoenix Suns,2012,17,24,8,33,0.4146341463414634,0.1951219512195122
111,Phoenix Suns,2013,26,15,22,19,0.6341463414634146,0.5365853658536586
112,Phoenix Suns,2014,22,19,17,24,0.5365853658536586,0.4146341463414634
113,Phoenix Suns,2015,14,27,9,32,0.34146341463414637,0.21951219512195122
114,Phoenix Suns,2016,15,26,9,32,0.36585365853658536,0.21951219512195122
115,Phoenix Suns,2017,10,31,11,30,0.24390243902439024,0.2682926829268293
116,Portland Trail Blazers,2012,22,19,11,30,0.5365853658536586,0.2682926829268293
117,Portland Trail Blazers,2013,31,10,23,18,0.7560975609756098,0.5609756097560976
118,Portland Trail Blazers,2014,32,9,19,22,0.7804878048780488,0.4634146341463415
119,Portland Trail Blazers,2015,28,13,16,25,0.6829268292682927,0.3902439024390244
120,Portland Trail Blazers,2016,25,16,16,25,0.6097560975609756,0.3902439024390244
121,Portland Trail Blazers,2017,28,13,21,20,0.6829268292682927,0.5121951219512195
122,Sacramento Kings,2012,20,21,8,33,0.4878048780487805,0.1951219512195122
123,Sacramento Kings,2013,17,24,11,30,0.4146341463414634,0.2682926829268293
124,Sacramento Kings,2014,18,23,11,30,0.43902439024390244,0.2682926829268293
125,Sacramento Kings,2015,18,23,15,26,0.43902439024390244,0.36585365853658536
126,Sacramento Kings,2016,17,24,15,26,0.4146341463414634,0.36585365853658536
127,Sacramento Kings,2017,14,27,13,28,0.34146341463414637,0.3170731707317073
